,Metric,References,TCP,TCS,TSR,TSA,Description
Effectiveness,Fault Detection Loss,"noemmer_evaluation_2020, najafi_improving_2019, cruciani_scalable_2019, shi_evaluating_2018",najafi_improving_2019,"najafi_improving_2019, chen_multi-objective_2021","shi_evaluating_2018, cruciani_scalable_2019",,Number or proportion of faults undetected by the selected/reduced test suite compared to the original.
Effectiveness,Comparison to expert,magalhaes_automatic_2016,buchgeher_improving_2016,"buchgeher_improving_2016, magalhaes_automatic_2016",,,Compares the output of the tool with a list of tests selected by the project architect.
Effectiveness,Faults per tests/time,kwon_cost-effective_2017,kwon_cost-effective_2017,kwon_cost-effective_2017,,,Number of faults deteted per number of tests or testing time.
Effectiveness,Number of tests added,yoshida_fsx_2016,,,,yoshida_fsx_2016,Number of tests added to the test suite.
Effectiveness,Algorithm performance measures,pradhan_search-based_2016,,pradhan_search-based_2016,,,Fitness value or hypervolume metrics applied to search-based algorithms
Effectiveness,Accumulated regression risk,lubke_selecting_2020,lubke_selecting_2020,lubke_selecting_2020,,,"How much of the ""regression risk"" is covered by the tests."
Effectiveness,Root-mean-square-error (RMSE),,,,,,Compares the predicted and observed results.
Effectiveness,Rank Percentile Average (RPA),"bertolino_learning--rank_2020, bagherzadeh_reinforcement_2022","bertolino_learning--rank_2020, bagherzadeh_reinforcement_2022",bertolino_learning--rank_2020,,,Comparison between the predicted ranking and the actual ranking (from the dataset).
Effectiveness,Most Likely Relative Position (MRP),,,,,,"Average position of first failed test, i.e. an estimate of how long the suite takes to find the first fault."
Effectiveness,Savings Factor,,,,,,Mapping of APFD to dollar savings.
,,,,,,,
Efficiency,Execution time,"wu_time_2019, gotlieb_using_2017, hirzel_graph-walk-based_2016, chen_test_2016, haghighatkhah_test_2018, zhong_testsage:_2019, vasic_file-level_2017, wang_enhancing_2016, yoshida_fsx_2016, celik_regression_2017, najafi_improving_2019, miranda_fast_2018, cruciani_scalable_2019, chi_multi-level_2017","wu_time_2019, haghighatkhah_test_2018, wang_enhancing_2016, najafi_improving_2019, miranda_fast_2018, lima_multi-armed_2022, zhou_parallel_2022, li_aga_2021, greca_comparing_2022","hirzel_graph-walk-based_2016, zhong_testsage:_2019, vasic_file-level_2017, celik_regression_2017, najafi_improving_2019, zhang_comparing_2022, xu_requirement-based_2021, greca_comparing_2022","gotlieb_using_2017, cruciani_scalable_2019, chi_multi-level_2017",yoshida_fsx_2016,"Time required to run the tool (e.g., selection time, prioritization time, etc)."
Efficiency,Total/End-to-end time,"zhang_hybrid_2018, fu_resurgence_2019, wang_enhancing_2016, celik_regression_2018, miranda_fast_2018, vasic_file-level_2017","wang_enhancing_2016, miranda_fast_2018, bertolino_learning--rank_2020, greca_comparing_2022","zhang_hybrid_2018, fu_resurgence_2019, celik_regression_2018, vasic_file-level_2017, zhang_comparing_2022, oqvist_extraction-based_2016, bertolino_learning--rank_2020, greca_comparing_2022",,,"End-to-end time, combining measuring time, execution time and testing time. Due to this, it is a measure of both efficiency and effectiveness."
Efficiency,Memory usage,"hirzel_graph-walk-based_2016, wang_enhancing_2016",wang_enhancing_2016,hirzel_graph-walk-based_2016,,,Measures the amount of memory used by the tool.
Efficiency,Scalability,"miranda_fast_2018, cruciani_scalable_2019","miranda_fast_2018, yaraghi_scalable_2022",,cruciani_scalable_2019,,How well the tool performs on subjects of different sizes.
Efficiency,Measuring time/cost,elsner_empirically_2021,elsner_empirically_2021,elsner_empirically_2021,,,"Measure of how costly is the information needed by the technique (e.g. compiling tests, collecting coverage, training a model)."
,,,,,,,
Other,Applicability/Generality,zhou_beating_2020,zhou_beating_2020,xu_requirement-based_2021,,,The variety of SUTs upon which the tool can be applied.
Other,Diagnosability,correia_motsd_2019,correia_motsd_2019,correia_motsd_2019,,,Cost of diagnosing a fault upon detection.
