Core metadata,,,,Additional metadata,,,,,,,Categorization,,,,,,,Applicability concerns,,,,,,,,,,,,Findings,,
Year,Authors,Title,bibtex,Abstract,Published in,Publisher,Source,DOI,Publication date,,Broad Categories,TCP,TCS,TSR,TSA,Context?,,Industry motivation?,Industry evaluation?,Experiment subjects,Programming language,Industry partner,Industrial author,Practitioners feedback,Available tool?,Put into practice?,Supplementary material,Included?,,Approach,Metrics,Open challenges
2016,"Buchgeher, Georg; Klammer, Claus; Heider, Wolfgang; Schuetz, Martin; Huber, Heinz",Improving testing in an enterprise SOA with an architecture-based approach,buchgeher_improving_2016,"High resource demand for system testing is a major obstacle for continuous delivery. This resource demand can be reduced by prioritizing test cases, e.g., by focusing on tests that cover a lot of functionality. For large-scale systems, like an enterprise SOA, defining such test cases can be difficult for the tester because of the lack of relevant knowledge about the system. We propose an approach for test case prioritization and selection that is based on architectural viewpoint that provides software testers with the required architectural information. We outline how architectural information is used for defining and selecting prioritized test cases. The approach has been developed in close cooperation with the provider of an enterprise SOA in the banking domain in Austria following an action research approach. In addition, the approach has been validated in an industrial case study. Validation showed that there is no further need for manual architectural analysis to be able to prioritize and select test cases. We also show the limitations of our approach as it is based on static code analysis. © 2016 IEEE.",2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA),IEEE,Query,10.1109/WICSA.2016.24,2016-07-21,,Orchestration technique/Context-specific,X,X,,,General(Java),,TRUE,TRUE,"Undisclosed projects from RSG

Industrial proprietary, unclear scale.",Unclear,Raiffeisen Software GmbH (Austria),TRUE,TRUE,FALSE,TRUE,,TRUE,,"model-based, load factor",Comparison with expert,Combine different information sources to improve TCP+TCS; incorporate system evolution information; use derived information towards test case generation
2016,"Tahvili, Sahar; Saadatmand, Mehrdad; Larsson, Stig; Afzal, Wasif; Bohlin, Markus; Sundmark, Daniel",Dynamic integration test selection based on test case dependencies,tahvili_dynamic_2016,"Prioritization, selection and minimization of test cases are well-known problems in software testing. Test case prioritization deals with the problem of ordering an existing set of test cases, typically with respect to the estimated likelihood of detecting faults. Test case selection addresses the problem of selecting a subset of an existing set of test cases, typically by discarding test cases that do not add any value in improving the quality of the software under test. Most existing approaches for test case prioritization and selection suffer from one or several drawbacks. For example, they to a large extent utilize static analysis of code for that purpose, making them unfit for higher levels of testing such as integration testing. Moreover, they do not exploit the possibility of dynamically changing the prioritization or selection of test cases based on the execution results of prior test cases. Such dynamic analysis allows for discarding test cases that do not need to be executed and are thus redundant. This paper proposes a generic method for prioritization and selection of test cases in integration testing that addresses the above issues. We also present the results of an industrial case study where initial evidence suggests the potential usefulness of our approach in testing a safety-critical train control management subsystem.","2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE,backward,10.1109/ICSTW.2016.14,2016-08-04,,,X,X,,,Combined static and dynamic selection and prioritization of integration tests,,TRUE,TRUE,"Brake and air supply systems from Bombardier (probably related to tahvili_cost-benefit_2016)

Industrial proprietary, unclear scale.",Unclear,Bombardier Transportation (Sweden),FALSE,TRUE,N/A,MAYBE,,TRUE,,"The work combines offline prioritization with online selection from the prioritized sets. 
This work is related to row 5 and here test case dependencies are also captured manually.","Requirement coverage; time efficiency; cost efficiency; fault detection probability. Introduces a ""dependency degree"" metric for prioritizing test cases; these are not an evaluation metric, but rather metrics attributed to each test case used by the TCP algorithm.

For evaluation: test execution time.",Provide further evidence by executing the online phase; investigate opposite form of result dependency.
2016,"Öqvist, Jesper; Hedin, Görel; Magnusson, Boris",Extraction-based regression test selection,oqvist_extraction-based_2016,"Frequent regression testing is a core activity in agile software development, but large test suites can lead to long test running times, hampering agility. By safe RTS (Regression Test Selection) techniques, a subset of the tests can be identified that cover all tests that can change result since the last run. To pay off in practice, the RTS overhead must be low. Most existing RTS techniques are based on dynamic coverage analysis, making the overhead related to the tests run. We present Extraction-Based RTS, a new safe RTS technique which uses a fast static analysis with very low overhead, related to the size of the modification rather than to the tests run. The method is suitable for program-driven testing, commonly used in agile development, where each test is a piece of code that uses parts of the system under test. We have implemented the method for Java, and bench-marked it on a number of open source projects, showing that it pays off substantially in practice.","PPPJ '16: Proceedings of the 13th International Conference on Principles and Practices of Programming on the Java Platform: Virtual Machines, Languages, and Tools",ACM,backward,10.1145/2972206.2972224,2016-08-29,,Technique analysis,,X,,,safe RTS,,TRUE,FALSE,"five Open Source Java projects (from 20-254K lines of code, up to 271 TCs): Apache Commons Lang, Closure
Compiler, Functor, Jaxen, and JUnit.

Open-source, small scale.",Java,,FALSE,FALSE,"TRUE

Replication package, well-documented",FALSE,"https://bitbucket.org/joqvist/autorts

https://bitbucket.org/joqvist/tsbench/src/master/",TRUE,,"""safe regression test selection method for program-
driven testing"": a variation on change-based focusing on the size of the changes",total running time," - develop methods for generating program-driven tests from input-
driven tests
 - combine the
method with unsafe RTS methods to be able to skip tests"
2016,"Magalhães, Cláudio; Mota, Alexandre; Barros, Flávia; Maia, Eliot",Automatic selection of test cases for regression testing,magalhaes_automatic_2016,"Regression testing is a safety measure to attest that changes made on a system preserve prior accepted behavior. Identifying which test cases must compose a regression test suite in a certain development stage is tricky, particularly when one only has test cases and change requests described in natural language, and the execution of the test suite will be performed manually. That is the case of our industrial partner. We propose a selection of regression test cases based on information retrieval and implement as a web-service. In performed experiments, we show that we can improve the creation of regression test suites of our industrial partner by providing more effective test cases based on keywords analysis in an automatic way.",SAST: Proceedings of the 1st Brazilian Symposium on Systematic and Automated Software Testing,ACM,backward,10.1145/2993288.2993299,2016-09-19,,Technique analysis,,X,,,An information retrieval-based TCS approach.,,TRUE,TRUE,"Test repository from Motorola (up to 427 TCs)

Industrial proprietary, small scale",Natural language,Motorola Mobility (Brazil),TRUE,TRUE,FALSE,TRUE,,TRUE,,An information retrieval-based TCS approach.,"Traditional information retrieval-based metrics such as recall, number (and %) of elements returned at the top of the list (top-n)."," - to completely replace the manual TCS approach with the automated one
 - try other variants of the merge strategy
 - Include source code as an input artefact
 - evaluate the effect of the derived TS on coverage"
2016,"Aman, Hirohisa; Tanaka, Yuta; Nakano, Takashi; Ogasawara, Hideto; Kawahara, Minoru",Application of Mahalanobis-Taguchi Method and 0-1 Programming Method to Cost-Effective Regression Testing,aman_application_2016,"To enhance the cost effectiveness of regression testing, this paper proposes a method for prioritizing test cases. In general, a test case can be evaluated from various different points of view, therefore whether it is worth it to re-run should be discussed using multi criteria. This paper shows that the Mahalanobis-Taguchi (MT) method is a useful way to successfully integrate different evaluations of a test case. Moreover, this paper proposes to use the 0-1 programming method together with the MT method in order to take into account not only the priority of a test case but also its cost to run. The empirical study with 300 test cases for an industrial software system shows that the combination of the MT method and the 0-1 programming method is more cost-effective than other conventional methods. © 2016 IEEE.",2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),IEEE,Query,10.1109/SEAA.2016.29,2016-10-18,,Orchestration technique,X,,,,General,,FALSE,TRUE,"Undisclosed system from Toshiba (300 TCs)

Industrial proprietary, small scale",Unclear,Toshiba (Japan),TRUE,FALSE,FALSE,MAYBE,,TRUE,,Similarity-based,"GLC (number of versions in which a certain test T was not run), failure rate",Apply in other software domains and compare with other TCP techniques.
2016,"Busjaeger, Benjamin; Xie, Tao",Learning for test prioritization: An industrial case study,busjaeger_learning_2016,"Modern cloud-software providers, such as Salesforce.com, increasingly adopt large-scale continuous integration envi-ronments. In such environments, assuring high developer productivity is strongly dependent on conducting testing efficiently and effectively. Specifically, to shorten feedback cycles, test prioritization is popularly used as an optimiza-tion mechanism for ranking tests to run by their likelihood of revealing failures. To apply test prioritization in indus-trial environments, we present a novel approach (tailored for practical applicability) that integrates multiple existing techniques via a systematic framework of machine learning to rank. Our initial empirical evaluation on a large real-world dataset from Salesforce.com shows that our approach significantly outperforms existing individual techniques.",FSE 2016: Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,ACM,Query,10.1145/2950290.2983954,2016-11-01,,Case study,X,,,,Web application,,TRUE,TRUE,"Automation system at Salesforce (~45000 TCs)

Industrial proprietary, very large scale",Java,Salesforce (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,"Machine learning-based (algo)

Code coverage-based, similarity-based, history-based, test age (info)","APFD, recall","Deepen learning, adding more features."
2016,"Yoshida, Hiroaki; Tokumoto, Susumu; Prasad, Mukul R.; Ghosh, Idradeep; Uehara, Tadahiro",FSX: A tool for fine-grained incremental unit test generation for C/C++ Programs,yoshida_fsx_2016,"Automated unit test generation bears the promise of significantly reducing test cost and hence improving software quality. However, the maintenance cost of the automatically generated tests presents a significant barrier to adoption of this technology. To address this challenge, in previous work, we proposed a novel technique for automated and fine-grained incremental generation of unit tests through minimal augmentation of an existing test suite. In this paper we describe a tool FSX, implementing this technique. We describe the architecture, user-interface, and salient features of FSX, and specific practical use-cases of its technology. We also report on a real, large-scale deployment of FSX as a practical validation of the underlying research contribution and of automated test generation research in general. © 2016 ACM.",FSE 2016: Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,ACM,Query,10.1145/2950290.2983937,2016-11-01,,Orchestration technique,,,,X,,,TRUE,FALSE,"Open-source tool iPerf (114 TCs)

Open-source, small scale",C,Fujitsu (Japan),TRUE,TRUE,FALSE,TRUE,,TRUE,,Coverage-based,"Statement coverage, branch coverage, #tests, runtime",n/a
2016,"Tahvili, Sahar; Bohlin, Markus; Saadatmand, Mehrdad; Larsson, Stig; Afzal, Wasif; Sundmark, Daniel",Cost-benefit analysis of using dependency knowledge at integration testing,tahvili_cost-benefit_2016,"In software system development, testing can take considerable time and resources, and there are numerous examples in the literature of how to improve the testing process. In particular, methods for selection and prioritization of test cases can play a critical role in efficient use of testing resources. This paper focuses on the problem of selection and ordering of integration-level test cases. Integration testing is performed to evaluate the correctness of several units in composition. Further, for reasons of both effectiveness and safety, many embedded systems are still tested manually. To this end, we propose a process, supported by an online decision support system, for ordering and selection of test cases based on the test result of previously executed test cases. To analyze the economic efficiency of such a system, a customized return on investment (ROI) metric tailored for system integration testing is introduced. Using data collected from the development process of a large-scale safety-critical embedded system, we perform Monte Carlo simulations to evaluate the expected ROI of three variants of the proposed new process. The results show that our proposed decision support system is beneficial in terms of ROI at system integration testing and thus qualifies as an important element in improving the integration testing process. © Springer International Publishing AG 2016.",PROFES 2016: Product-Focused Software Process Improvement,Springer,Query,10.1007/978-3-319-49094-6_17 ,2016-11-06,,Orchestration technique,X,,,,"Embedded systems
NL test cases",,TRUE,TRUE,"Train control managment subsystem (4578 TCs)

Industrial proprietary, large scale",Natural language,Bombardier Transportation (Sweden),FALSE,FALSE,N/A,FALSE,,TRUE,,the paper evaluates the ROI for the TCP approach proposed in row 42; here they build a cost model and compare the costs of using TCP or not. Note that the TCP uses dependencies among tests that are identifies manually,Return on investment,"- do study on real data and not on simulation
-consider other criteria for TCP"
2017,"Ramler, Rudolf; Salomon, Christian; Buchgeher, Georg; Lusser, Michael",Tool support for change-based regression testing: An industry experience report,ramler_tool_2017,"Changes may cause unexpected side effects and inconsistencies. Regression testing is the process of re-testing a software system after changes have been made to ensure that the new version of the system has retained the capabilities of the old version and that no new defects have been introduced. Regression testing is an essential activity, but it is also time-consuming and costly. Thus, regression testing should concentrate on those parts of the system that have been modified or which are affected by changes. Regression test selection has been proposed over three decades ago and, since then, it has been frequently in the focus of empirical studies. However, regression test selection is still not widely adopted in practice. Together with the test team of an industrial software company we have developed a tool-based approach that assists software testers in selecting regression test cases based on change information and test coverage data. This paper describes the main usage scenario of the approach, illustrates the implemented solution, and reports on its evaluation in a large industry project. The evaluation showed that the tool support reduces the time required for compiling regression test suites and fosters an accurate selection of regression test cases. The paper concludes with our lessons learned from implementing the tool support in a real-world setting. © Springer International Publishing AG 2017.",SWQD 2017: Software Quality. Complexity and Challenges of Software Engineering in Emerging Technologies,Springer,Query,10.1007/978-3-319-49421-0_10,2016-11-12,,Case study,,X,,,,,TRUE,TRUE,"Undisclosed software system at Omicron (over 5000 TCs)

Industrial proprietary, large scale",Multi-language,OMICRON Electronics GmbH (Austria),TRUE,TRUE,FALSE,TRUE,,TRUE,,"change-based, coverage-based, graph walk",testing time,lack of details provided by version control; redundant test cases; polluted coverage footprints; creating and maintaining coverage
2016,"Strandberg, Per Erik; Sundmark, Daniel; Afzal, Wasif; Ostrand, Thomas J.; Weyuker, Elaine J.",Experience Report: Automated System Level Regression Test Prioritization Using Multiple Factors,strandberg_experience_2016,"We propose a new method of determining an effective ordering of regression test cases, and describe its implementation as an automated tool called SuiteBuilder developed by Westermo Research and Development AB. The tool generates an efficient order to run the cases in an existing test suite by using expected or observed test duration and combining priorities of multiple factors associated with test cases, including previous fault detection success, interval since last executed, and modifications to the code tested. The method and tool were developed to address problems in the traditional process of regression testing, such as lack of time to run a complete regression suite, failure to detect bugs in time, and tests that are repeatedly omitted. The tool has been integrated into the existing nightly test framework for Westermo software that runs on large-scale data communication systems. In experimental evaluation of the tool, we found significant improvement in regression testing results. The re-ordered test suites finish within the available time, the majority of fault-detecting test cases are located in the first third of the suite, no important test case is omitted, and the necessity for manual work on the suites is greatly reduced. © 2016 IEEE.",2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),IEEE,Query,10.1109/ISSRE.2016.23,2016-12-08,,Orchestration technique,X,X,,,,,TRUE,TRUE,"Embedded systems running Westermo's operating system WeOS  (unknown scale)

Industrial proprietary, unknown scale",Python,Westermo Research and Development (Sweden),TRUE,FALSE,FALSE,TRUE,,TRUE,,"History-based, change-based",Testing time; fault detection rate,Different kinds of suites and prioritizers; apply approach to minimization
2016,"Marijan, Dusica; Liaaen, Marius",Effect of time window on the performance of continuous regression testing,marijan_effect_2016,"Test prioritization is an effective technique used to reduce the amount of work required to support regression testing in continuous integration development. It aims at finding an optimal order of tests that can detect regressions faster, potentially increasing the frequency of software releases. Prioritization techniques based on test execution history use the results of preceding executions to determine an optimal order of regression tests in the succeeding test executions. In this paper, we investigate how can execution history be optimally used to increase the effectiveness of regression test prioritization. We analyze the effect of history time window on the fault detection effectiveness of prioritized regression tests. We report an experimental study using a data set from Cisco. The results suggest that varying the size of the window can considerably change the performance of regression testing. Our findings will potentially help developers and test teams in adjusting test prioritization techniques for achieving higher cost-effectiveness in continuous regression testing.",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),IEEE,backward,10.1109/ICSME.2016.77,2017-01-16,,,X,,,,,,TRUE,TRUE,"Cisco videoconferencing system (460 TCs)

Industrial proprietary, small-scale",Unclear,Cisco (Norway),TRUE,FALSE,FALSE,FALSE,,TRUE,,"History-based, fault detection-based","fault detection capability, APFD","Utilize comprehensive cost-benefit measures, experiments in other industry domains"
2017,"Gotlieb, Arnaud; Marijan, Dusica",Using global constraints to automate regression testing,gotlieb_using_2017,"Communicating or autonomous systems rely on high-quality software-based components. that must be thoroughly verified before they are released and deployed in operational settings. Regression testing is a crucial verification process that compares any new release of a software-based component against its previous versions, by executing available test cases. However, limited testing time makes selection of test cases in regression testing challenging, and some selection criteria must be respected. Validation engineers usually address this problem, coined as test suite reduction (TSR), through manual analysis or by using approximation techniques. In this paper, we address the TSR problem with sound artificial intelligence techniques such as constraint programming (CP) and global constraints. By using distinct cost-value-aggregating criteria, we propose several constraint-optimization models to find a subset of test cases that cover all the test requirements and optimize the overall cost of selected test cases. Our contribution includes reuse of existing preprocessing rules to simplify the problem before solving it and the design of structure-aware heuristics that take into account the notion of the costs associated with test cases. The work presented in this paper has been motivated by an industrial application in the communication domain. Our overall goal is to develop a constraint-based approach of test suite reduction that can be deployed to test a complete product line of conferencing systems in continuous delivery mode. By implementing this approach in a software prototype tool and experimentally evaluating it on both randomly generated and industrial instances, we hope to foster a quick adoption of the technology. Copyright © 2017, Association for the Advancement of Artificial Intelligence. All rights reserved.","

AI Magazine",AAAI,Query,10.1609/aimag.v38i1.2714,2017-03-31,,Orchestration technique,,,X,,"Communication industry, high-configurable systems (but not specifically problems for PL)",,TRUE,TRUE,"Cisco videoconferencing system (377 TCs)

Industrial proprietary, small scale",Unclear,Cisco (Norway),FALSE,TRUE,FALSE,MAYBE,,TRUE,,Optimized approach to Constraint-based test suite reduction and its evalutation in comparison with SOTA,"CPU time of solving
Test suite size reduction","- improve preprocessing  heuristics for improving efficiency
- increase usability to facilitate industrial adoption"
2017,"Chi, Zongzheng; Xuan, Jifeng; Ren, Zhilei; Xie, Xiaoyuan; Guo, He",Multi-Level Random Walk for Software Test Suite Reduction,chi_multi-level_2017,"Which test cases should be selected to save the time of software testing? Due to the large time cost of running all test cases, it is necessary to run representative test cases to shorten the software development cycle. Test suite reduction, an NP-hard problem in software engineering, aims to select a subset of test cases to reduce the time cost of test execution in satisfying test requirements. Recently, search based software engineering provides a new direction to test suite reduction by connecting software engineering problems with computational intelligence methods. In this paper, we propose a multi-level optimization algorithm to simplify the original problem instance of test suite reduction. In each level, we search for local optimal solutions with random walk in potential subsets of the test suite. The problem scale is reduced by locking the intersection of local optima and by discarding shielded test cases with no contribution to test requirements. We compare our algorithm with state-of-the-art methods on test suites of ten large-scale open source projects. Experiments show that our algorithm can more efficiently find optima on five out of six projects, in which Integer Linear Programming (ILP) can find optima; for the other four projects that ILP fails to solve, our algorithm provides the best solutions among heuristics in comparison. © 2017 IEEE.",IEEE Computational Intelligence Magazine,IEEE,query refresh,10.1109/MCI.2017.2670460,2017-04-12,,,,,X,,,,TRUE,FALSE,"Open-source Java projects (up to 6196 TCs)

Open-source, large scale",Java,,FALSE,FALSE,"MAYBE

Only dataset, well-documented",FALSE,http://cstar.whu.edu.cn/p/multi-walk/,TRUE,,search-based,"reduction rate, runtime",Improve scalability for large and small instances.
2017,"Bach, Thomas; Andrzejak, Artur; Pannemans, Ralf",Coverage-Based Reduction of Test Execution Time: Lessons from a Very Large Industrial Project,bach_coverage-based_2017,"There exist several coverage-based approaches to reduce time and resource costs of test execution. While these methods are well-investigated and evaluated for smaller to medium-size projects, we faced several challenges in applying them in the context of a very large industrial software project, namely SAP HANA. These issues include: varying effectiveness of algorithms for test case selection/prioritization, large amounts of shared (non-specific) coverage between different tests, high redundancy of coverage data, and randomness of test results (i.e. flaky tests), as well as of the coverage data (e.g. due to concurrency issues). We address these issues by several approaches. First, our study shows that compared to standard algorithms, so-called overlap-aware solvers can achieve up to 50% higher code coverage in a fixed time budget, significantly increasing the effectiveness of test case prioritization and selection. We also detected in our project high redundancy of line coverage data (up to 97%), providing opportunities for data size reduction. Finally, we show that removal of coverage shared by tests can significantly increase test specificity. Our analysis and approaches can help to narrow the gap between research and practice in context of coverage-based testing approaches, especially in case of very large software projects. © 2017 IEEE.","2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE,Query,10.1109/ICSTW.2017.6,2017-04-17,,"Case study, orchestration technique",X,X,,,Database management system,,TRUE,TRUE,"Database management system (19472 TCs) 

Industrial proprietary, very large scale (""atomic fragments of test code"")",Python,SAP SE (Germany),TRUE,TRUE,FALSE,TRUE,,TRUE,,"Greedy (algo)

Coverage-based and overlap-aware (info)",Coverage,"Flaky tests, experiment with other over-lap aware heuristics."
2017,"Spieker, Helge; Gotlieb, Arnaud; Marijan, Dusica; Mossige, Morten",Reinforcement learning for automatic test case prioritization and selection in continuous integration,spieker_reinforcement_2017,"Testing in Continuous Integration (CI) involves test case prioritization, selection, and execution at each cycle. Selecting the most promising test cases to detect bugs is hard if there are uncertainties on the impact of committed code changes or, if traceability links between code and tests are not available. This paper introduces Retecs, a new method for automatically learning test case selection and prioritization in CI with the goal to minimize the round-trip time between code commits and developer feedback on failed test cases. The Retecs method uses reinforcement learning to select and prioritize test cases according to their duration, previous last execution and failure history. In a constantly changing environment, where new test cases are created and obsolete test cases are deleted, the Retecs method learns to prioritize error-prone test cases higher under guidance of a reward function and by observing previous CI cycles. By applying Retecs on data extracted from three industrial case studies, we show for the first time that reinforcement learning enables fruitful automatic adaptive test case selection and prioritization in CI and regression testing.",ISSTA 2017: Proceedings of the 26th ACM SIGSOFT International Symposium on Software Testing and Analysis,ACM,backward,10.1145/3092703.3092709,2017-07-10,,Method/algorithm,X,X,,,Continuous integration,,FALSE,TRUE,"Industrial open-source, medium to large scale
Open-source, small to large scale

ABB Robotics dataset (2k TCs)

GSDTSR (Google) dataset (5.5k TCs)",,ABB Robotics (Norway),TRUE,FALSE,"TRUE

Replication package, well-documented

Also dataset separately",FALSE,"https://bitbucket.org/HelgeS/retecs/src/master/

https://bitbucket.org/HelgeS/atcs-data/src/master/",TRUE,,machine-learning based (reinforcement learning),NAPFD,"With increased data available, larger networks and deep learning are promising."
2017,"Vasic, Marko; Parvez, Zuhair; Milicevic, Aleksandar; Gligoric, Milos",File-Level vs. Module-Level Regression Test Selection for .NET,vasic_file-level_2017,"Regression testing is used to check the correctness of evolving software. With the adoption of Agile development methodology, the number of tests and software revisions has dramatically increased, and hence has the cost of regression testing. Researchers proposed regression test selection (RTS) techniques that optimize regression testing by skipping tests that are not impacted by recent program changes. Ekstazi is one such state-of-the art technique; Ekstazi is implemented for the Java programming language and has been adopted by several companies and open-source projects.
We report on our experience implementing and evaluating Ekstazi#, an Ekstazi-like tool for .NET. We describe the key challenges of bringing the Ekstazi idea to the .NET platform. We evaluate Ekstazi# on 11 open-source projects, as well as an internal Microsoft project substantially larger than each of the open-source projects. Finally, we compare Ekstazi# to an incremental build system (also developed at Microsoft), which, out of the box, provides module-level dependency tracking and skipping tasks (including test execution) whenever dependencies of a task do not change between the current and the last successful build. Ekstazi# on average reduced regression testing time by 43.70% for the open-source projects and by 65.26% for the Microsoft project (the latter is in addition to the savings provided by incremental builds).",ESEC/FSE 2017: Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ACM,backward,10.1145/3106237.3117763,2017-08-21,,,,X,,,C#/.NET variant,,TRUE,TRUE,"Open-source C# projects (up to 183 TCs) plus one Microsoft project (37 ""test modules"")

Open-source, small scale
Industrial proprietary, unclear scale",C#,Microsoft (USA),TRUE,FALSE,"TRUE

Replication package, poorly documented",FALSE,https://github.com/marko-vasic/ekstaziSharp,TRUE,,Change-based,"selection count, execution time, cumulative time",n/a
2017,"Celik, Ahmet; Vasic, Marko; Milicevic, Aleksandar; Gligoric, Milos",Regression test selection across JVM boundaries,celik_regression_2017,"Modern software development processes recommend that changes be integrated into the main development line of a project multiple times a day. Before a new revision may be integrated, developers practice regression testing to ensure that the latest changes do not break any previously established functionality. The cost of regression testing is high, due to an increase in the number of revisions that are introduced per day, as well as the number of tests developers write per revision. Regression test selection (RTS) optimizes regression testing by skipping tests that are not affected by recent project changes. Existing dynamic RTS techniques support only projects written in a single programming language, which is unfortunate knowing that an open-source project is on average written in several programming languages. We present the first dynamic RTS technique that does not stop at predefined language boundaries. Our technique dynamically detects, at the operating system level, all file artifacts a test depends on. Our technique is, hence, oblivious to the specific means the test uses to actually access the files: be it through spawning a new process, invoking a system call, invoking a library written in a different language, invoking a library that spawns a process which makes a system call, etc. We also provide a set of extension points which allow for a smooth integration with testing frameworks and build systems. We implemented our technique in a tool called RTSLinux as a loadable Linux kernel module and evaluated it on 21 Java projects that escape the JVM by spawning new processes or invoking native code, totaling 2, 050, 791 lines of code. Our results show that RTSLinux, on average, skips 74.17% of tests and saves 52.83% of test execution time compared to executing all tests. © 2017 Association for Computing Machinery.",ESEC/FSE 2017: Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,ACM,Query,10.1145/3106237.3106297,2017-08-21,,Orchestration technique/Context-specific,,X,,,Multi-language projects,,TRUE,FALSE,"Open-source Java projects (up to 431 TCs)

Open-source, small scale",Java,Microsoft (USA),TRUE,FALSE,FALSE,FALSE,,TRUE,,Change-based,"testing time, reduction rate, dependency discovery, overhead",Incorporate approach with other programming languages.
2018,"Ouriques, João Felipe S.; Cartaxo, Emanuela G.; Machado, Patrícia D.L.",Test case prioritization techniques for model-based testing: a replicated study,ouriques_test_2018,"Recently, several test case prioritization (TCP) techniques have been proposed to order test cases for achieving a goal during test execution, particularly, revealing faults sooner. In the model-based testing (MBT) context, such techniques are usually based on heuristics related to structural elements of the model and derived test cases. In this sense, techniques' performance may vary due to a number of factors. While empirical studies comparing the performance of TCP techniques have already been presented in literature, there is still little knowledge, particularly in the MBT context, about which factors may influence the outcomes suggested by a TCP technique. In a previous family of empirical studies focusing on labeled transition systems, we identified that the model layout, i.e., amount of branches, joins, and loops in the model, alone may have little influence on the effectiveness of TCP techniques investigated, whereas characteristics of test cases that actually fail definitely influences this aspect. However, we considered only synthetic artifacts in the study, which reduced the ability of representing properly the reality. In this paper, we present a replication of one of these studies, now with a larger and more representative selection of techniques and considering test suites from industrial systems as experimental objects. Our objective is to find out whether the results remain while increasing the validity in comparison to the original study. Results reinforce that there is no best performer among the investigated techniques and characteristics of test cases that fail represent an important factor, although adaptive random-based techniques are less affected by it.",Software Quality Journal,IEEE,Query,10.1007/s11219-017-9398-y,2018-01-23,,Orchestration technique,X,,,,,,TRUE,TRUE,"Undisclosed systems at Ingenico (up to 48 TCs)

Industrial proprietary, small scale.","C, Java, Groovy",Ingenico (Brazil),FALSE,FALSE,FALSE,FALSE,,TRUE,,"coverage-based, similarity-based, path complexity-based, model-based",APFD,discover influence of other factors on effectiveness; collect supplementary data to improve techniques.
2017,"Kwon, Jung-Hyun; Ko, In-Young",Cost-effective regression testing using bloom filters in continuous integration development environments,kwon_cost-effective_2017,"Regression testing in continuous integration development environments 
must be cost-effective and should provide fast feedback on test suite 
failures to the developers. In order to provide faster feedback on 
failures to developers while using computing resources efficiently, two 
types of regression testing techniques have been developed: Regression 
Testing Selection (RTS) and Test Case Prioritization (TCP). One of the 
factors that reduces the effectiveness of the RTS and TCP techniques is 
the inclusion of test suites that fail only once over a period. We 
propose an approach based on Bloom filtering to exclude such test suites
 during the RTS process, and to assign such test suites with a lower 
priority during the TCP process. We experimentally evaluate our approach
 using a Google dataset, and demonstrate that cost-effectiveness of the 
proposed RTS and TCP techniques outperforms the state-of-the-art 
techniques.",2017 24th Asia-Pacific Software Engineering Conference (APSEC),IEEE,backward,10.1109/APSEC.2017.22,2018-03-05,,Technique analysis,X,X,,,Selection and prioritization of Test Suites to be executed in a CI environment. The proposed approach is inspired by the work from Elbaum and Penix on Google (Google CI dataset).,,TRUE,TRUE,"GSDTSR (5555 TCs)

Industrial open-source, large scale.","C, Java, Python, etc.",,FALSE,FALSE,FALSE,FALSE,,TRUE,,A bloom ﬁlter is used together with the window-based method proposed by Elbaum and Penix with the purpose of removing test suites that failed only once over a period. The selected test suites receive a weight that is later used for prioritizing the TS execution (so some notion of orchestration could possibly be considered).,"Fault detection capability, Efftime (efficiency), and Precision.",Improve the approach to reduce the false-positive cases.
